"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This request has a test asserting that certain response headers are present or have an expected value.

You can access details of the response, such as headers, on the `pm.response` object. See the [response object documentation](https://learning.postman.com/docs/writing-scripts/script-references/postman-sandbox-api-reference/#scripting-with-response-data) for other properties available.","347","Defined formats are accepted Collection Details","Regression_Testing","Sun Jan 12 14:37:33 GMT 2025","passed","Sun Jan 12 14:37:33 GMT 2025","collection_details_dd","data_driven","",""
"The test on this request asserts that the reponse has a ""200 OK"" status.

You can check for any HTTP status code using the same mechanism, for example `pm.response.to.have.status(403)` if your API should return an ""Unauthorized"" response.","183","Status Code 404 Invalid Header Value verification Collection","Regression_Testing","Sun Jan 12 14:37:27 GMT 2025","passed","Sun Jan 12 14:37:28 GMT 2025","collection","scenario_based","",""
"This request has a test asserting that a response is received within a specific time limit (in this case 5 seconds). This is useful for ensuring consistent API performance.

You can access details of the response, such as response time, on the `pm.response` object. See the [response object documentation](https://learning.postman.com/docs/writing-scripts/script-references/postman-sandbox-api-reference/#scripting-with-response-data) for other properties available.","356","Response time <500ms verification Collection Details","Regression_Testing","Sun Jan 12 14:37:29 GMT 2025","passed","Sun Jan 12 14:37:29 GMT 2025","collection_details","scenario_based","",""
"The test on this request asserts that the reponse has a ""200 OK"" status.

You can check for any HTTP status code using the same mechanism, for example `pm.response.to.have.status(403)` if your API should return an ""Unauthorized"" response.","938","Status Code 200 verification Collection","Regression_Testing","Sun Jan 12 14:37:26 GMT 2025","failed","Sun Jan 12 14:37:27 GMT 2025","collection","scenario_based","",""
"The test on this request asserts that the reponse has a ""200 OK"" status.

You can check for any HTTP status code using the same mechanism, for example `pm.response.to.have.status(403)` if your API should return an ""Unauthorized"" response.","176","Status Code 404 Invalid Header Value verification Collection","Regression_Testing","Sun Jan 12 14:37:29 GMT 2025","passed","Sun Jan 12 14:37:29 GMT 2025","collection_details","scenario_based","",""
"The test on this request asserts that the reponse has a ""200 OK"" status.

You can check for any HTTP status code using the same mechanism, for example `pm.response.to.have.status(403)` if your API should return an ""Unauthorized"" response.","173","Status Code 500 Invalid Header Value verification Collection Details","Regression_Testing","Sun Jan 12 14:37:29 GMT 2025","passed","Sun Jan 12 14:37:29 GMT 2025","collection_details","scenario_based","",""
"This request has a test asserting that a response is received within a specific time limit (in this case 5 seconds). This is useful for ensuring consistent API performance.

You can access details of the response, such as response time, on the `pm.response` object. See the [response object documentation](https://learning.postman.com/docs/writing-scripts/script-references/postman-sandbox-api-reference/#scripting-with-response-data) for other properties available.","209","Response time <500 ms verification Collection","Regression_Testing","Sun Jan 12 14:37:28 GMT 2025","failed","Sun Jan 12 14:37:28 GMT 2025","collection","scenario_based","",""
"This request has a test using Postman's built-in support for JSON Schema verification to ensure that the response data matches the expected shape.

Schema validation can be used to verify your API returns data in the right format, without worrying about the exact values. This might be helpful when testing various inputs for a consistent output format.

Learn more about JSON Schema at [https://json-schema.org](https://json-schema.org/.).","368","JSON schema verification","Regression_Testing","Sun Jan 12 14:37:31 GMT 2025","passed","Sun Jan 12 14:37:31 GMT 2025","collection_details","scenario_based","",""
"This request has a test asserting that certain response headers are present or have an expected value.

You can access details of the response, such as headers, on the `pm.response` object. See the [response object documentation](https://learning.postman.com/docs/writing-scripts/script-references/postman-sandbox-api-reference/#scripting-with-response-data) for other properties available.","353","Defined formats are accepted Collection Details","Regression_Testing","Sun Jan 12 14:37:33 GMT 2025","passed","Sun Jan 12 14:37:34 GMT 2025","collection_details_dd","data_driven","",""
"This request has a test asserting that certain response headers are present or have an expected value.

You can access details of the response, such as headers, on the `pm.response` object. See the [response object documentation](https://learning.postman.com/docs/writing-scripts/script-references/postman-sandbox-api-reference/#scripting-with-response-data) for other properties available.","191","Header verification Collection","Regression_Testing","Sun Jan 12 14:37:28 GMT 2025","failed","Sun Jan 12 14:37:28 GMT 2025","collection","scenario_based","",""
"The test on this request asserts that the reponse has a ""200 OK"" status.

You can check for any HTTP status code using the same mechanism, for example `pm.response.to.have.status(403)` if your API should return an ""Unauthorized"" response.","352","Status code 200 verification Collection Details","Regression_Testing","Sun Jan 12 14:37:28 GMT 2025","passed","Sun Jan 12 14:37:29 GMT 2025","collection_details","scenario_based","",""
"This request has a test asserting that certain response headers are present or have an expected value.

You can access details of the response, such as headers, on the `pm.response` object. See the [response object documentation](https://learning.postman.com/docs/writing-scripts/script-references/postman-sandbox-api-reference/#scripting-with-response-data) for other properties available.","353","Header verification Collection Details","Regression_Testing","Sun Jan 12 14:37:29 GMT 2025","passed","Sun Jan 12 14:37:30 GMT 2025","collection_details","scenario_based","",""
"This request has a test asserting that certain response headers are present or have an expected value.

You can access details of the response, such as headers, on the `pm.response` object. See the [response object documentation](https://learning.postman.com/docs/writing-scripts/script-references/postman-sandbox-api-reference/#scripting-with-response-data) for other properties available.","431","Result accepts xml Collection Details","Regression_Testing","Sun Jan 12 14:37:30 GMT 2025","passed","Sun Jan 12 14:37:30 GMT 2025","collection_details","scenario_based","",""
"The test on this request asserts that the reponse has a ""200 OK"" status.

You can check for any HTTP status code using the same mechanism, for example `pm.response.to.have.status(403)` if your API should return an ""Unauthorized"" response.","177","Status Code 500 Invalid Header Value verification Collection","Regression_Testing","Sun Jan 12 14:37:28 GMT 2025","passed","Sun Jan 12 14:37:28 GMT 2025","collection","scenario_based","",""
"This request has a test asserting that certain response headers are present or have an expected value.

You can access details of the response, such as headers, on the `pm.response` object. See the [response object documentation](https://learning.postman.com/docs/writing-scripts/script-references/postman-sandbox-api-reference/#scripting-with-response-data) for other properties available.","371","Result accepts jsonp Collection Details","Regression_Testing","Sun Jan 12 14:37:30 GMT 2025","passed","Sun Jan 12 14:37:31 GMT 2025","collection_details","scenario_based","",""
"The test on this request asserts that the reponse has a ""200 OK"" status.

You can check for any HTTP status code using the same mechanism, for example `pm.response.to.have.status(403)` if your API should return an ""Unauthorized"" response.","410","Status Code 401 Invalid Key verification Collection","Regression_Testing","Sun Jan 12 14:37:27 GMT 2025","passed","Sun Jan 12 14:37:27 GMT 2025","collection","scenario_based","",""
"The test on this request asserts that the reponse has a ""200 OK"" status.

You can check for any HTTP status code using the same mechanism, for example `pm.response.to.have.status(403)` if your API should return an ""Unauthorized"" response.","179","Status code 401 Invalid Key verification Collection Details","Regression_Testing","Sun Jan 12 14:37:29 GMT 2025","passed","Sun Jan 12 14:37:29 GMT 2025","collection_details","scenario_based","",""
"This request has a test asserting that certain response headers are present or have an expected value.

You can access details of the response, such as headers, on the `pm.response` object. See the [response object documentation](https://learning.postman.com/docs/writing-scripts/script-references/postman-sandbox-api-reference/#scripting-with-response-data) for other properties available.","906","Defined formats are accepted Collection Details","Regression_Testing","Sun Jan 12 14:37:32 GMT 2025","passed","Sun Jan 12 14:37:33 GMT 2025","collection_details_dd","data_driven","",""
